Project Name ▲,Sample ID,Depth,Biome,Environmental Feature,Environmental Material,Nitrate,Phosphate
Tara Oceans,SAMEA2623859,5,marine biome,sea surface layer,particulate matter,0.334082,0.0125
Tara Oceans,SAMEA2732073,40,marine biome,deep chlorophyll maximum layer,particulate matter,1.20919,0
Tara Oceans,SAMEA2732005,40,marine biome,deep chlorophyll maximum layer,particulate matter,0.549453,0
Tara Oceans,SAMEA2732095,5,marine biome,sea surface layer,particulate matter,0.605165,0.0055
Tara Oceans,SAMEA2731788,5,marine biome,sea surface layer,particulate matter,-0.328716,0.0055
Tara Oceans,SAMEA2731784,5,marine biome,sea surface layer,particulate matter,-0.328716,0.0055
Tara Oceans,SAMEA2731634,5,marine biome,sea surface layer,particulate matter,-0.149488,0.0015
Tara Oceans,SAMEA2732044,5,marine biome,sea surface layer,particulate matter,0.992351,0.001
Tara Oceans,SAMEA2731996,5,marine biome,sea surface layer,particulate matter,-0.960636,0.001
Tara Oceans,SAMEA2623721,5,marine biome,sea surface layer,particulate matter,-0.960636,0.001
Tara Oceans,SAMEA2730594,5,marine biome,sea surface layer,particulate matter,5.03906,0.33275
Tara Oceans,SAMEA2731031,5,marine biome,sea surface layer,particulate matter,5.03906,0.33275
Tara Oceans,SAMEA2623639,5,marine biome,sea surface layer,particulate matter,3.47819,0.33275
Tara Oceans,SAMEA2730691,5,marine biome,sea surface layer,particulate matter,-0.008183,0
Tara Oceans,SAMEA2623601,5,marine biome,sea surface layer,particulate matter,-0.008183,0
Tara Oceans,SAMEA2730839,40,marine biome,deep chlorophyll maximum layer,particulate matter,0.679095,0.001
Tara Oceans,SAMEA2730960,40,marine biome,deep chlorophyll maximum layer,particulate matter,0.679095,0.001
Tara Oceans,SAMEA2730834,40,marine biome,deep chlorophyll maximum layer,particulate matter,0.417502,0.001
Tara Oceans,SAMEA2730956,5,marine biome,sea surface layer,particulate matter,0.448112,0.0065
Tara Oceans,SAMEA2730657,5,marine biome,sea surface layer,particulate matter,1.19032,0.0065
Tara Oceans,SAMEA2730918,5,marine biome,sea surface layer,particulate matter,-2.2118,0.003
Tara Oceans,SAMEA2623477,5,marine biome,sea surface layer,particulate matter,-2.2118,0.003
Tara Oceans,SAMEA2732983,5,marine biome,sea surface layer,particulate matter,2.89224,0.55525
Tara Oceans,SAMEA2623417,5,marine biome,sea surface layer,particulate matter,2.89224,0.55525
Tara Oceans,SAMEA2732716,60,marine biome,deep chlorophyll maximum layer,particulate matter,23.0162,1.108
Tara Oceans,SAMEA2732658,5,marine biome,sea surface layer,particulate matter,0.055451,0.1575
Tara Oceans,SAMEA2732654,5,marine biome,sea surface layer,particulate matter,-1.18432,0.1575
Tara Oceans,SAMEA2732866,40,marine biome,deep chlorophyll maximum layer,particulate matter,24.3522,0.884
Tara Oceans,SAMEA2732613,40,marine biome,deep chlorophyll maximum layer,particulate matter,23.0993,0.884
Tara Oceans,SAMEA2732607,5,marine biome,sea surface layer,particulate matter,2.69352,0.456
Tara Oceans,SAMEA2732378,5,marine biome,sea surface layer,particulate matter,2.69352,0.456
Tara Oceans,SAMEA2623282,5,marine biome,sea surface layer,particulate matter,3.24131,0.456
Tara Oceans,SAMEA2732373,5,marine biome,sea surface layer,particulate matter,0.038247,0.3115
Tara Oceans,SAMEA2732598,5,marine biome,sea surface layer,particulate matter,0.038247,0.3115
Tara Oceans,SAMEA2623264,5,marine biome,sea surface layer,particulate matter,-1.14515,0.3115
Tara Oceans,SAMEA2732994,30,marine biome,deep chlorophyll maximum layer,particulate matter,2.59575,0.370333
Tara Oceans,SAMEA2732990,30,marine biome,deep chlorophyll maximum layer,particulate matter,1.67453,0.370333
Tara Oceans,SAMEA2732986,30,marine biome,deep chlorophyll maximum layer,particulate matter,0.342955,0.370333
Tara Oceans,SAMEA2732214,5,marine biome,sea surface layer,particulate matter,0.132837,0.288583
Tara Oceans,SAMEA2732932,5,marine biome,sea surface layer,particulate matter,0.132837,0.288583
Tara Oceans,SAMEA2732797,115,marine biome,deep chlorophyll maximum layer,particulate matter,0.004868,0.1252
Tara Oceans,SAMEA2732790,5,marine biome,sea surface layer,particulate matter,0.022689,0.0062
Tara Oceans,SAMEA2623070,5,marine biome,sea surface layer,particulate matter,-0.979589,0.0062
Tara Oceans,SAMEA2732139,5,marine biome,sea surface layer,particulate matter,-1.00537,0.0457
Tara Oceans,SAMEA2732906,5,marine biome,sea surface layer,particulate matter,-1.00537,0.0457
Tara Oceans,SAMEA2622934,40,marine biome,deep chlorophyll maximum layer,particulate matter,4.36571,0.54925
Tara Oceans,SAMEA2622912,5,marine biome,sea surface layer,particulate matter,2.46716,0.53975
Tara Oceans,SAMEA2731692,50,marine biome,deep chlorophyll maximum layer,particulate matter,10.8009,0.9295
Tara Oceans,SAMEA2731795,5,marine biome,sea surface layer,particulate matter,6.72934,0.77275
Tara Oceans,SAMEA2732245,35,marine biome,deep chlorophyll maximum layer,particulate matter,-1.12738,1.08725
Tara Oceans,SAMEA2732192,5,marine biome,sea surface layer,particulate matter,-1.39217,0.52125
Tara Oceans,SAMEA2621795,5,marine biome,sea surface layer,particulate matter,-1.48507,0.52125
Tara Oceans,SAMEA2621793,5,marine biome,sea surface layer,particulate matter,-1.48507,0.52125
Tara Oceans,SAMEA2732344,85,marine biome,deep chlorophyll maximum layer,particulate matter,-0.156557,0.357
Tara Oceans,SAMEA2732299,5,marine biome,sea surface layer,particulate matter,-1.55607,0
Tara Oceans,SAMEA2732231,5,marine biome,sea surface layer,particulate matter,-1.55607,0
Tara Oceans,SAMEA2621316,5,marine biome,sea surface layer,particulate matter,-1.55607,0
Tara Oceans,SAMEA2620150,50,marine biome,None,particulate matter,0.273168,0.305
Tara Oceans,SAMEA2732058,80,marine biome,deep chlorophyll maximum layer,particulate matter,0.462569,0.022
Tara Oceans,SAMEA2732088,80,marine biome,deep chlorophyll maximum layer,particulate matter,0.318508,0.022
Tara Oceans,SAMEA2732085,5,marine biome,sea surface layer,particulate matter,-1.53328,0.0125
Tara Oceans,SAMEA2731999,40,marine biome,deep chlorophyll maximum layer,particulate matter,0.635152,0
Tara Oceans,SAMEA2623815,5,marine biome,sea surface layer,particulate matter,-0.328716,0.0055
Tara Oceans,SAMEA2731821,5,marine biome,sea surface layer,particulate matter,-0.149488,0.0015
Tara Oceans,SAMEA2731035,5,marine biome,sea surface layer,particulate matter,5.03906,0.33275
Tara Oceans,SAMEA2730686,5,marine biome,sea surface layer,particulate matter,-0.008183,0
Tara Oceans,SAMEA2730804,5,marine biome,sea surface layer,particulate matter,-2.0956,0.003
Tara Oceans,SAMEA2732508,60,marine biome,deep chlorophyll maximum layer,particulate matter,28.0447,1.108
Tara Oceans,SAMEA2732863,40,marine biome,deep chlorophyll maximum layer,particulate matter,18.457,0.884
Tara Oceans,SAMEA2732604,5,marine biome,sea surface layer,particulate matter,3.24131,0.456
Tara Oceans,SAMEA2732594,5,marine biome,sea surface layer,particulate matter,-1.14515,0.3115
Tara Oceans,SAMEA2623226,30,marine biome,deep chlorophyll maximum layer,particulate matter,-0.595237,0.370333
Tara Oceans,SAMEA2732980,5,marine biome,sea surface layer,particulate matter,0.132837,0.288583
Tara Oceans,SAMEA2623204,5,marine biome,sea surface layer,particulate matter,-0.971353,0.288583
Tara Oceans,SAMEA2732914,115,marine biome,deep chlorophyll maximum layer,particulate matter,1.71775,0.1252
Tara Oceans,SAMEA2623090,115,marine biome,deep chlorophyll maximum layer,particulate matter,0.732507,0.1252
Tara Oceans,SAMEA2732843,5,marine biome,sea surface layer,particulate matter,0.022689,0.0062
Tara Oceans,SAMEA2732736,5,marine biome,sea surface layer,particulate matter,0.022689,0.0062
Tara Oceans,SAMEA2732732,110,marine biome,deep chlorophyll maximum layer,particulate matter,0.00013,0.0172
Tara Oceans,SAMEA2732785,110,marine biome,deep chlorophyll maximum layer,particulate matter,-0.19746,0.0172
Tara Oceans,SAMEA2732729,110,marine biome,deep chlorophyll maximum layer,particulate matter,-0.346856,0.0172
Tara Oceans,SAMEA2623035,110,marine biome,deep chlorophyll maximum layer,particulate matter,-0.736436,0.0172
Tara Oceans,SAMEA2732135,5,marine biome,sea surface layer,particulate matter,-1.00537,0.0457
Tara Oceans,SAMEA2623016,5,marine biome,sea surface layer,particulate matter,-2.28321,0.0457
Tara Oceans,SAMEA2732042,40,marine biome,deep chlorophyll maximum layer,particulate matter,4.22679,0.54925
Tara Oceans,SAMEA2731992,5,marine biome,sea surface layer,particulate matter,4.30886,0.53975
Tara Oceans,SAMEA2731945,40,marine biome,deep chlorophyll maximum layer,particulate matter,4.23464,0.54925
Tara Oceans,SAMEA2731900,40,marine biome,deep chlorophyll maximum layer,particulate matter,4.23464,0.54925
Tara Oceans,SAMEA2732035,5,marine biome,sea surface layer,particulate matter,4.30886,0.53975
Tara Oceans,SAMEA2731987,5,marine biome,sea surface layer,particulate matter,4.30886,0.53975
Tara Oceans,SAMEA2622415,50,marine biome,deep chlorophyll maximum layer,particulate matter,10.9451,0.9295
Tara Oceans,SAMEA2731833,5,marine biome,sea surface layer,particulate matter,6.72934,0.77275
Tara Oceans,SAMEA2622393,5,marine biome,sea surface layer,particulate matter,6.72934,0.77275
Tara Oceans,SAMEA2622389,5,marine biome,sea surface layer,particulate matter,6.72934,0.77275
Tara Oceans,SAMEA2622159,177,marine biome,marine mesopelagic zone,particulate matter,21.0684,2.68675
Tara Oceans,SAMEA2621789,5,marine biome,sea surface layer,particulate matter,-1.48507,0.52125
Tara Oceans,SAMEA2621468,5,marine biome,sea surface layer,particulate matter,11.0037,1.176
Tara Oceans,SAMEA2730995,85,marine biome,deep chlorophyll maximum layer,particulate matter,0.244232,0.1035
Tara Oceans,SAMEA2730769,5,marine biome,sea surface layer,particulate matter,0.244232,0.07325
Tara Oceans,SAMEA2731026,5,marine biome,sea surface layer,particulate matter,0.244232,0.07325
Tara Oceans,SAMEA2730863,5,marine biome,sea surface layer,particulate matter,-1.82607,0.093
Tara Oceans,SAMEA2620403,55,marine biome,deep chlorophyll maximum layer,particulate matter,-0.28232,0.199
Tara Oceans,SAMEA2730900,5,marine biome,sea surface layer,particulate matter,0.477267,0.102
Tara Oceans,SAMEA2730898,5,marine biome,sea surface layer,particulate matter,0.477267,0.102
Tara Oceans,SAMEA2620379,5,marine biome,sea surface layer,particulate matter,0.477267,0.102
Tara Oceans,SAMEA2620139,25,marine biome,None,particulate matter,-0.315174,0.235
Tara Oceans,SAMEA2731011,5,marine biome,sea surface layer,particulate matter,-0.008183,0
Tara Oceans,SAMEA2730950,5,marine biome,sea surface layer,particulate matter,0.448112,0.0065
Tara Oceans,SAMEA2732453,5,marine biome,sea surface layer,particulate matter,0.055451,0.1575
Tara Oceans,SAMEA2621827,35,marine biome,deep chlorophyll maximum layer,particulate matter,0.660123,1.08725
Tara Oceans,SAMEA2621474,5,marine biome,sea surface layer,particulate matter,11.0037,1.176
Tara Oceans,SAMEA2620172,105,marine biome,None,particulate matter,23.2764,1.998
Tara Oceans,SAMEA2623603,5,marine biome,sea surface layer,particulate matter,-0.008183,0
Tara Oceans,SAMEA2624011,100,oceanic epipelagic zone biome,marine wind mixed layer,particulate matter,4.45478,0.249
Tara Oceans,SAMEA2623901,5,marine biome,sea surface layer,particulate matter,2.99923,0.1595
Tara Oceans,SAMEA2623879,80,marine biome,deep chlorophyll maximum layer,particulate matter,1.56535,0.022
Tara Oceans,SAMEA2623861,5,marine biome,sea surface layer,particulate matter,0.334082,0.0125
Tara Oceans,SAMEA2623839,40,marine biome,deep chlorophyll maximum layer,particulate matter,1.21028,0
Tara Oceans,SAMEA2623817,5,marine biome,sea surface layer,particulate matter,-0.328716,0.0055
Tara Oceans,SAMEA2623799,740,marine biome,marine mesopelagic zone,particulate matter,21.2692,1.34475
Tara Oceans,SAMEA2623763,250,marine biome,marine mesopelagic zone,particulate matter,4.0429,0.179
Tara Oceans,SAMEA2623723,5,marine biome,sea surface layer,particulate matter,-0.960636,0.001
Tara Oceans,SAMEA2623703,640,marine biome,marine mesopelagic zone,particulate matter,21.8309,1.3135
Tara Oceans,SAMEA2623641,5,marine biome,sea surface layer,particulate matter,3.47819,0.33275
Tara Oceans,SAMEA2623621,390,marine biome,marine mesopelagic zone,particulate matter,4.69098,0.2385
Tara Oceans,SAMEA2623564,40,marine biome,deep chlorophyll maximum layer,particulate matter,0.90708,0.001
Tara Oceans,SAMEA2623543,5,marine biome,sea surface layer,particulate matter,1.19032,0.0065
Tara Oceans,SAMEA2623523,640,marine biome,marine mesopelagic zone,particulate matter,31.8512,1.2175
Tara Oceans,SAMEA2623479,5,marine biome,sea surface layer,particulate matter,-2.2118,0.003
Tara Oceans,SAMEA2623419,5,marine biome,sea surface layer,particulate matter,2.89224,0.55525
Tara Oceans,SAMEA2623397,450,marine biome,marine mesopelagic zone,particulate matter,36.8861,3.155
Tara Oceans,SAMEA2623379,60,marine biome,deep chlorophyll maximum layer,particulate matter,22.0878,1.108
Tara Oceans,SAMEA2623359,5,marine biome,sea surface layer,particulate matter,-1.18432,0.1575
Tara Oceans,SAMEA2623321,375,marine biome,marine mesopelagic zone,particulate matter,35.7167,2.9545
Tara Oceans,SAMEA2623284,5,marine biome,sea surface layer,particulate matter,3.24131,0.456
Tara Oceans,SAMEA2623266,5,marine biome,sea surface layer,particulate matter,-1.14515,0.3115
Tara Oceans,SAMEA2623228,30,marine biome,deep chlorophyll maximum layer,particulate matter,-0.595237,0.370333
Tara Oceans,SAMEA2623206,5,marine biome,sea surface layer,particulate matter,-0.971353,0.288583
Tara Oceans,SAMEA2623092,115,marine biome,deep chlorophyll maximum layer,particulate matter,0.732507,0.1252
Tara Oceans,SAMEA2623072,5,marine biome,sea surface layer,particulate matter,-0.979589,0.0062
Tara Oceans,SAMEA2623037,110,marine biome,deep chlorophyll maximum layer,particulate matter,-0.736436,0.0172
Tara Oceans,SAMEA2623018,5,marine biome,sea surface layer,particulate matter,-2.28321,0.0457
Tara Oceans,SAMEA2622997,5,marine biome,sea surface layer,particulate matter,-1.89738,0.186
Tara Oceans,SAMEA2622983,85,marine biome,deep chlorophyll maximum layer,particulate matter,0.614344,0.332
Tara Oceans,SAMEA2622957,5,marine biome,sea surface layer,particulate matter,-2.17599,0.225
Tara Oceans,SAMEA2622936,40,marine biome,deep chlorophyll maximum layer,particulate matter,4.36571,0.54925
Tara Oceans,SAMEA2622914,5,marine biome,sea surface layer,particulate matter,2.46716,0.53975
Tara Oceans,SAMEA2622561,155,marine biome,deep chlorophyll maximum layer,particulate matter,0.476585,0.1145
Tara Oceans,SAMEA2622536,5,marine biome,sea surface layer,particulate matter,-0.916543,0.14225
Tara Oceans,SAMEA2622417,50,marine biome,deep chlorophyll maximum layer,particulate matter,10.9451,0.9295
Tara Oceans,SAMEA2622391,5,marine biome,sea surface layer,particulate matter,6.72934,0.77275
Tara Oceans,SAMEA2622305,380,marine biome,marine mesopelagic zone,particulate matter,37.6941,2.66488
Tara Oceans,SAMEA2622278,40,marine biome,deep chlorophyll maximum layer,particulate matter,9.68462,0.776625
Tara Oceans,SAMEA2622258,5,marine biome,sea surface layer,particulate matter,5.71519,0.573125
Tara Oceans,SAMEA2622206,480,marine biome,marine mesopelagic zone,particulate matter,40.009,2.853
Tara Oceans,SAMEA2622158,177,marine biome,marine mesopelagic zone,particulate matter,21.0684,2.68675
Tara Oceans,SAMEA2622067,488,marine biome,marine mesopelagic zone,particulate matter,24.644,2.023
Tara Oceans,SAMEA2621971,175,marine biome,deep chlorophyll maximum layer,particulate matter,1.20477,0.1725
Tara Oceans,SAMEA2621922,5,marine biome,sea surface layer,particulate matter,-1.01044,0.121
Tara Oceans,SAMEA2621894,155,marine biome,deep chlorophyll maximum layer,particulate matter,0.110812,0.181
Tara Oceans,SAMEA2621872,5,marine biome,sea surface layer,particulate matter,-0.372718,0.1575
Tara Oceans,SAMEA2621854,5,marine biome,sea surface layer,particulate matter,-0.399569,0.2235
Tara Oceans,SAMEA2621823,35,marine biome,deep chlorophyll maximum layer,particulate matter,0.660123,1.08725
Tara Oceans,SAMEA2621791,5,marine biome,sea surface layer,particulate matter,-1.48507,0.52125
Tara Oceans,SAMEA2621609,35,marine biome,deep chlorophyll maximum layer,particulate matter,28.9664,2.4585
Tara Oceans,SAMEA2621583,5,marine biome,sea surface layer,particulate matter,11.9924,1.553
Tara Oceans,SAMEA2621470,5,marine biome,sea surface layer,particulate matter,11.0037,1.176
Tara Oceans,SAMEA2621388,35,marine biome,deep chlorophyll maximum layer,particulate matter,3.68799,0.412
Tara Oceans,SAMEA2621362,5,marine biome,sea surface layer,particulate matter,1.85559,0.429
Tara Oceans,SAMEA2621337,85,marine biome,deep chlorophyll maximum layer,particulate matter,1.35093,0.357
Tara Oceans,SAMEA2621315,5,marine biome,sea surface layer,particulate matter,-1.55607,0
Tara Oceans,SAMEA2620527,80,marine biome,deep chlorophyll maximum layer,particulate matter,0.244232,0.1035
Tara Oceans,SAMEA2620503,5,marine biome,sea surface layer,particulate matter,0.244232,0.07325
Tara Oceans,SAMEA2620292,5,marine biome,sea surface layer,particulate matter,-0.711536,0.0705
Tara Oceans,SAMEA2620113,270,marine biome,marine mesopelagic zone,particulate matter,19.5665,2.64
Tara Oceans,SAMEA2620089,25,marine biome,deep chlorophyll maximum layer,particulate matter,-0.611888,0.2465
Tara Oceans,SAMEA2620043,340,marine biome,marine mesopelagic zone,particulate matter,22.4446,2.639
Tara Oceans,SAMEA2620505,5,marine biome,sea surface layer,particulate matter,0.244232,0.07325
Tara Oceans,SAMEA2620396,5,marine biome,sea surface layer,particulate matter,-1.82607,0.093
Tara Oceans,SAMEA2620378,5,marine biome,sea surface layer,particulate matter,0.477267,0.102
Tara Oceans,SAMEA2620071,5,marine biome,sea surface layer,particulate matter,-1.41558,0.2335
Tara Oceans,SAMEA2621563,790,marine biome,marine mesopelagic zone,particulate matter,38.8212,2.614
Tara Oceans,SAMEA2621562,790,marine biome,marine mesopelagic zone,particulate matter,38.8212,2.614
Tara Oceans,SAMEA2732536,90,marine biome,deep chlorophyll maximum layer,particulate matter,30.4221,2.309
Tara Oceans,SAMEA2732415,5,marine biome,sea surface layer,particulate matter,28.882,2.1055
Tara Oceans,SAMEA2621439,40,marine biome,deep chlorophyll maximum layer,particulate matter,17.1118,1.356
Tara Oceans,SAMEA2621190,800,marine biome,marine mesopelagic zone,particulate matter,38.4485,2.618
Tara Oceans,SAMEA2621189,800,marine biome,marine mesopelagic zone,particulate matter,38.4485,2.618
Tara Oceans,SAMEA2621106,800,marine biome,marine mesopelagic zone,particulate matter,37.7793,2.522
Tara Oceans,SAMEA2621105,800,marine biome,marine mesopelagic zone,particulate matter,37.7793,2.522
Tara Oceans,SAMEA2621007,700,marine biome,marine mesopelagic zone,particulate matter,25.8469,1.529
Tara Oceans,SAMEA2621006,700,marine biome,marine mesopelagic zone,particulate matter,25.8469,1.529
Tara Oceans,SAMEA2622846,140,oceanic epipelagic zone biome,marine wind mixed layer,particulate matter,3.67243,0.566
Tara Oceans,SAMEA2656982,5,marine biome,sea surface layer,particulate matter,6.03141,0.55725
Tara Oceans,SAMEA2657032,5,marine biome,sea surface layer,particulate matter,6.03141,0.55725
Tara Oceans,SAMEA2657071,5,marine biome,sea surface layer,particulate matter,6.03141,0.55725
Tara Oceans,SAMEA2622826,5,marine biome,sea surface layer,particulate matter,4.98594,0.55725
Tara Oceans,SAMEA2622824,5,marine biome,sea surface layer,particulate matter,4.98594,0.55725
Tara Oceans,SAMEA2622804,120,oceanic epipelagic zone biome,marine wind mixed layer,particulate matter,4.45868,0.4885
Tara Oceans,SAMEA2657085,5,marine biome,sea surface layer,particulate matter,6.68578,0.63025
Tara Oceans,SAMEA2656986,5,marine biome,sea surface layer,particulate matter,5.05319,0.63025
Tara Oceans,SAMEA2622774,5,marine biome,sea surface layer,particulate matter,5.11186,0.63025
Tara Oceans,SAMEA2622770,5,marine biome,sea surface layer,particulate matter,5.11186,0.63025
Tara Oceans,SAMEA2622769,5,marine biome,sea surface layer,particulate matter,5.11186,0.63025
Tara Oceans,SAMEA2622766,5,marine biome,sea surface layer,particulate matter,5.11186,0.63025
Tara Oceans,SAMEA2622744,150,oceanic epipelagic zone biome,marine wind mixed layer,particulate matter,5.02326,0.6607
Tara Oceans,SAMEA2656975,5,marine biome,sea surface layer,particulate matter,5.321,0.53495
Tara Oceans,SAMEA2657005,5,marine biome,sea surface layer,particulate matter,5.321,0.53495
Tara Oceans,SAMEA2657109,5,marine biome,sea surface layer,particulate matter,5.321,0.53495
Tara Oceans,SAMEA2622719,5,marine biome,sea surface layer,particulate matter,3.86841,0.53495
Tara Oceans,SAMEA2622717,5,marine biome,sea surface layer,particulate matter,3.86841,0.53495
Tara Oceans,SAMEA2657075,115,marine biome,deep chlorophyll maximum layer,particulate matter,3.87394,0.582933
Tara Oceans,SAMEA2622699,115,marine biome,deep chlorophyll maximum layer,particulate matter,2.33358,0.582933
Tara Oceans,SAMEA2657070,5,marine biome,sea surface layer,particulate matter,5.94839,0.56795
Tara Oceans,SAMEA2657094,5,marine biome,sea surface layer,particulate matter,5.94839,0.56795
Tara Oceans,SAMEA2657010,5,marine biome,sea surface layer,particulate matter,5.94839,0.56795
Tara Oceans,SAMEA2622661,5,marine biome,sea surface layer,particulate matter,3.98636,0.56795
Tara Oceans,SAMEA2622660,5,marine biome,sea surface layer,particulate matter,3.98636,0.56795
Tara Oceans,SAMEA2656980,90,marine biome,deep chlorophyll maximum layer,particulate matter,2.41002,0.443
Tara Oceans,SAMEA2657019,90,marine biome,deep chlorophyll maximum layer,particulate matter,2.41002,0.443
Tara Oceans,SAMEA2622490,90,marine biome,deep chlorophyll maximum layer,particulate matter,1.41152,0.443
Tara Oceans,SAMEA2622489,90,marine biome,deep chlorophyll maximum layer,particulate matter,1.41152,0.443
Tara Oceans,SAMEA2622487,90,marine biome,deep chlorophyll maximum layer,particulate matter,1.41152,0.443
Tara Oceans,SAMEA2656988,5,marine biome,sea surface layer,particulate matter,2.59718,0.5
Tara Oceans,SAMEA2657036,5,marine biome,sea surface layer,particulate matter,2.56873,0.5
Tara Oceans,SAMEA2622465,5,marine biome,sea surface layer,particulate matter,2.56873,0.5
Tara Oceans,SAMEA2622463,5,marine biome,sea surface layer,particulate matter,2.56873,0.5
Tara Oceans,SAMEA2622461,5,marine biome,sea surface layer,particulate matter,2.56873,0.5
Tara Oceans,SAMEA2657076,40,marine biome,deep chlorophyll maximum layer,particulate matter,1.07291,0.56725
Tara Oceans,SAMEA2657103,40,marine biome,deep chlorophyll maximum layer,particulate matter,1.07291,0.56725
Tara Oceans,SAMEA2622347,30,marine biome,deep chlorophyll maximum layer,particulate matter,3.88661,0.50475
Tara Oceans,SAMEA2622345,30,marine biome,deep chlorophyll maximum layer,particulate matter,3.88661,0.50475
Tara Oceans,SAMEA2622343,30,marine biome,deep chlorophyll maximum layer,particulate matter,3.88661,0.50475
Tara Oceans,SAMEA2657088,5,marine biome,sea surface layer,particulate matter,0.451517,0.2865
Tara Oceans,SAMEA2657063,5,marine biome,sea surface layer,particulate matter,0.451517,0.2865
Tara Oceans,SAMEA2622325,5,marine biome,sea surface layer,particulate matter,1.21011,0.2865
Tara Oceans,SAMEA2622324,5,marine biome,sea surface layer,particulate matter,1.21011,0.2865
Tara Oceans,SAMEA2657008,5,marine biome,sea surface layer,particulate matter,1.21011,0.2865
Tara Oceans,SAMEA2622232,40,marine biome,deep chlorophyll maximum layer,particulate matter,20.3283,1.8615
Tara Oceans,SAMEA2622230,40,marine biome,deep chlorophyll maximum layer,particulate matter,20.3283,1.8615
Tara Oceans,SAMEA2622228,40,marine biome,deep chlorophyll maximum layer,particulate matter,20.3283,1.8615
Tara Oceans,SAMEA2657087,40,marine biome,deep chlorophyll maximum layer,particulate matter,13.402,1.8615
Tara Oceans,SAMEA2657097,40,marine biome,deep chlorophyll maximum layer,particulate matter,14.6539,1.8615
Tara Oceans,SAMEA2657072,5,marine biome,sea surface layer,particulate matter,12.4153,1.02575
Tara Oceans,SAMEA2656991,5,marine biome,sea surface layer,particulate matter,11.689,1.02575
Tara Oceans,SAMEA2657092,5,marine biome,sea surface layer,particulate matter,11.689,1.02575
Tara Oceans,SAMEA2622184,5,marine biome,sea surface layer,particulate matter,11.689,1.02575
Tara Oceans,SAMEA2622182,5,marine biome,sea surface layer,particulate matter,11.689,1.02575
Tara Oceans,SAMEA2657077,50,marine biome,deep chlorophyll maximum layer,particulate matter,3.35077,0.7785
Tara Oceans,SAMEA2657044,50,marine biome,deep chlorophyll maximum layer,particulate matter,0.369746,0.7785
Tara Oceans,SAMEA2622132,50,marine biome,deep chlorophyll maximum layer,particulate matter,1.50198,0.7785
Tara Oceans,SAMEA2622130,50,marine biome,deep chlorophyll maximum layer,particulate matter,1.50198,0.7785
Tara Oceans,SAMEA2622128,50,marine biome,deep chlorophyll maximum layer,particulate matter,1.50198,0.7785
Tara Oceans,SAMEA2657000,5,marine biome,sea surface layer,particulate matter,4.59074,0.67725
Tara Oceans,SAMEA2656973,5,marine biome,sea surface layer,particulate matter,4.59074,0.67725
Tara Oceans,SAMEA2657086,5,marine biome,sea surface layer,particulate matter,4.59074,0.67725
Tara Oceans,SAMEA2622106,5,marine biome,sea surface layer,particulate matter,4.59074,0.67725
Tara Oceans,SAMEA2622104,5,marine biome,sea surface layer,particulate matter,4.59074,0.67725
Tara Oceans,SAMEA2657023,180,marine biome,deep chlorophyll maximum layer,particulate matter,0.178539,0.0965
Tara Oceans,SAMEA2657031,180,marine biome,deep chlorophyll maximum layer,particulate matter,0.178539,0.0965
Tara Oceans,SAMEA2656984,5,marine biome,sea surface layer,particulate matter,-1.56749,0.1815
Tara Oceans,SAMEA2656959,5,marine biome,sea surface layer,particulate matter,-1.56749,0.1815
Tara Oceans,SAMEA2622012,5,marine biome,sea surface layer,particulate matter,-1.56749,0.1815
Tara Oceans,SAMEA2622010,5,marine biome,sea surface layer,particulate matter,-1.56749,0.1815
Tara Oceans,SAMEA2621544,90,marine biome,deep chlorophyll maximum layer,particulate matter,33.1092,2.309
Tara Oceans,SAMEA2621542,90,marine biome,deep chlorophyll maximum layer,particulate matter,33.1092,2.309
Tara Oceans,SAMEA2656966,90,marine biome,deep chlorophyll maximum layer,particulate matter,32.6209,2.309
Tara Oceans,SAMEA2657068,90,marine biome,deep chlorophyll maximum layer,particulate matter,30.5177,2.309
Tara Oceans,SAMEA2656979,5,marine biome,sea surface layer,particulate matter,27.5012,2.1055
Tara Oceans,SAMEA2621524,5,marine biome,sea surface layer,particulate matter,27.5012,2.1055
Tara Oceans,SAMEA2621522,5,marine biome,sea surface layer,particulate matter,27.5012,2.1055
Tara Oceans,SAMEA2621520,5,marine biome,sea surface layer,particulate matter,27.5012,2.1055
Tara Oceans,SAMEA2657096,5,marine biome,sea surface layer,particulate matter,25.5345,1.723
Tara Oceans,SAMEA2657033,5,marine biome,sea surface layer,particulate matter,24.423,1.723
Tara Oceans,SAMEA2657049,5,marine biome,sea surface layer,particulate matter,24.423,1.723
Tara Oceans,SAMEA2621498,5,marine biome,sea surface layer,particulate matter,24.423,1.723
Tara Oceans,SAMEA2621496,5,marine biome,sea surface layer,particulate matter,24.423,1.723
Tara Oceans,SAMEA2621442,40,marine biome,deep chlorophyll maximum layer,particulate matter,17.1118,1.356
Tara Oceans,SAMEA2621440,40,marine biome,deep chlorophyll maximum layer,particulate matter,17.1118,1.356
Tara Oceans,SAMEA2621436,40,marine biome,deep chlorophyll maximum layer,particulate matter,17.1118,1.356
Tara Oceans,SAMEA2657035,30,marine biome,deep chlorophyll maximum layer,particulate matter,17.1193,1.296
Tara Oceans,SAMEA2657104,5,marine biome,sea surface layer,particulate matter,17.0911,1.302
